n,payout_policy_id,start_at,retained_usd,harvest_usd,activated,deaths,correlated_death_events,payouts,unwithdrawn_usd
1,cap_maximizer,2020-01-02T01:00:00+02:00,-195.0,0.0,1,1,0,0,0.0
1,cap_maximizer,2020-02-03T01:00:00+02:00,525.0,1500.0,5,4,0,1,-680.4
1,cap_maximizer,2020-03-02T01:00:00+02:00,-160.0,0.0,1,1,0,0,0.0
1,cap_maximizer,2020-04-01T01:00:00+03:00,2060.0,3000.0,5,5,0,2,0.0
1,cap_maximizer,2020-05-01T01:00:00+03:00,1935.0,3000.0,6,5,0,2,-150.1
1,cap_maximizer,2020-06-01T01:00:00+03:00,-230.0,0.0,1,1,0,0,0.0
1,cap_maximizer,2020-07-01T01:00:00+03:00,-195.0,0.0,1,1,0,0,0.0
1,cap_maximizer,2020-08-03T01:00:00+03:00,-160.0,0.0,1,1,0,0,0.0
1,cap_maximizer,2020-09-01T01:00:00+03:00,-230.0,0.0,1,1,0,0,0.0
1,cap_maximizer,2020-10-01T01:00:00+03:00,-195.0,0.0,1,1,0,0,0.0
1,cap_maximizer,2020-11-02T01:00:00+02:00,-160.0,0.0,1,1,0,0,0.0
1,cap_maximizer,2020-12-01T01:00:00+02:00,-195.0,0.0,1,1,0,0,0.0
1,cap_maximizer,2021-01-04T01:00:00+02:00,-160.0,0.0,1,1,0,0,0.0
1,cap_maximizer,2021-02-01T01:00:00+02:00,-160.0,0.0,1,1,0,0,0.0
1,cap_maximizer,2021-03-01T01:00:00+02:00,-195.0,0.0,1,1,0,0,0.0
1,cap_maximizer,2021-04-01T01:00:00+03:00,-160.0,0.0,1,1,0,0,0.0
1,cap_maximizer,2021-05-03T01:00:00+03:00,-230.0,0.0,1,1,0,0,0.0
1,cap_maximizer,2021-06-01T01:00:00+03:00,-195.0,0.0,1,1,0,0,0.0
1,cap_maximizer,2021-07-01T01:00:00+03:00,-160.0,0.0,1,1,0,0,0.0
1,cap_maximizer,2021-08-02T01:00:00+03:00,-195.0,0.0,1,1,0,0,0.0
1,cap_maximizer,2021-09-01T01:00:00+03:00,-160.0,0.0,1,1,0,0,0.0
1,cap_maximizer,2021-10-01T01:00:00+03:00,-160.0,0.0,1,1,0,0,0.0
1,cap_maximizer,2021-11-01T01:00:00+02:00,-160.0,0.0,1,1,0,0,0.0
1,cap_maximizer,2021-12-01T01:00:00+02:00,3880.0,4500.0,3,2,0,3,1050.6
1,cap_maximizer,2022-01-03T01:00:00+02:00,2380.0,3000.0,3,2,0,2,1648.95
1,cap_maximizer,2022-02-01T01:00:00+02:00,3915.0,4500.0,3,2,0,3,1394.25
1,cap_maximizer,2022-03-01T01:00:00+02:00,-195.0,0.0,1,1,0,0,0.0
1,cap_maximizer,2022-04-01T01:00:00+03:00,-160.0,0.0,1,1,0,0,0.0
1,cap_maximizer,2022-05-02T01:00:00+03:00,7075.0,7500.0,2,2,0,5,0.0
1,cap_maximizer,2022-06-01T01:00:00+03:00,7075.0,7500.0,2,2,0,5,0.0
1,cap_maximizer,2022-07-01T01:00:00+03:00,6985.0,7500.0,3,2,0,5,713.45
1,cap_maximizer,2022-08-01T01:00:00+03:00,-160.0,0.0,1,1,0,0,0.0
1,cap_maximizer,2022-09-01T01:00:00+03:00,-195.0,0.0,1,1,0,0,0.0
1,cap_maximizer,2022-10-03T01:00:00+03:00,-160.0,0.0,1,1,0,0,0.0
1,cap_maximizer,2022-11-01T01:00:00+02:00,5365.0,6000.0,2,2,0,4,0.0
1,cap_maximizer,2022-12-01T01:00:00+02:00,5365.0,6000.0,2,2,0,4,0.0
1,cap_maximizer,2023-01-03T01:00:00+02:00,-265.0,0.0,1,1,0,0,0.0
1,cap_maximizer,2023-02-01T01:00:00+02:00,-230.0,0.0,1,1,0,0,0.0
1,cap_maximizer,2023-03-01T01:00:00+02:00,5240.0,6000.0,3,2,0,4,1781.7
1,cap_maximizer,2023-04-03T01:00:00+03:00,-160.0,0.0,1,1,0,0,0.0
1,cap_maximizer,2023-05-01T01:00:00+03:00,-195.0,0.0,1,1,0,0,0.0
1,cap_maximizer,2023-06-01T01:00:00+03:00,-160.0,0.0,1,1,0,0,0.0
1,cap_maximizer,2023-07-03T01:00:00+03:00,-160.0,0.0,1,1,0,0,0.0
1,cap_maximizer,2023-08-01T01:00:00+03:00,8135.0,9000.0,3,3,0,6,0.0
1,cap_maximizer,2023-09-01T01:00:00+03:00,10955.0,12000.0,5,4,0,8,294.55
1,cap_maximizer,2023-10-02T01:00:00+03:00,9740.0,10500.0,3,2,0,7,74.7
1,cap_maximizer,2023-11-01T01:00:00+02:00,9775.0,10500.0,3,2,0,7,2369.05
1,cap_maximizer,2023-12-01T01:00:00+02:00,11310.0,12000.0,3,2,0,8,1437.3
1,cap_maximizer,2024-01-02T01:00:00+02:00,9455.0,10500.0,5,5,0,7,0.0
1,cap_maximizer,2024-02-01T01:00:00+02:00,11080.0,12000.0,4,4,0,8,0.0
1,cap_maximizer,2024-03-01T01:00:00+02:00,-195.0,0.0,1,1,0,0,0.0
1,cap_maximizer,2024-04-01T01:00:00+03:00,-160.0,0.0,1,1,0,0,0.0
1,cap_maximizer,2024-05-01T01:00:00+03:00,9350.0,10500.0,5,5,0,7,0.0
1,cap_maximizer,2024-06-03T01:00:00+03:00,6315.0,7500.0,5,4,0,5,1970.45
1,cap_maximizer,2024-07-01T01:00:00+03:00,-160.0,0.0,1,1,0,0,0.0
1,half_of_maximum,2020-01-02T01:00:00+02:00,-195.0,0.0,1,1,0,0,0.0
1,half_of_maximum,2020-02-03T01:00:00+02:00,865.0,2000.0,6,5,0,4,-776.75
1,half_of_maximum,2020-03-02T01:00:00+02:00,-160.0,0.0,1,1,0,0,0.0
1,half_of_maximum,2020-04-01T01:00:00+03:00,1962.92,3027.92,6,5,0,6,1358.08
1,half_of_maximum,2020-05-01T01:00:00+03:00,3247.92,4277.92,6,5,0,8,1331.68
1,half_of_maximum,2020-06-01T01:00:00+03:00,-230.0,0.0,1,1,0,0,0.0
1,half_of_maximum,2020-07-01T01:00:00+03:00,-195.0,0.0,1,1,0,0,0.0
1,half_of_maximum,2020-08-03T01:00:00+03:00,-160.0,0.0,1,1,0,0,0.0
1,half_of_maximum,2020-09-01T01:00:00+03:00,-230.0,0.0,1,1,0,0,0.0
1,half_of_maximum,2020-10-01T01:00:00+03:00,-195.0,0.0,1,1,0,0,0.0
1,half_of_maximum,2020-11-02T01:00:00+02:00,-160.0,0.0,1,1,0,0,0.0
1,half_of_maximum,2020-12-01T01:00:00+02:00,-195.0,0.0,1,1,0,0,0.0
1,half_of_maximum,2021-01-04T01:00:00+02:00,-160.0,0.0,1,1,0,0,0.0
1,half_of_maximum,2021-02-01T01:00:00+02:00,-160.0,0.0,1,1,0,0,0.0
1,half_of_maximum,2021-03-01T01:00:00+02:00,-195.0,0.0,1,1,0,0,0.0
1,half_of_maximum,2021-04-01T01:00:00+03:00,-160.0,0.0,1,1,0,0,0.0
1,half_of_maximum,2021-05-03T01:00:00+03:00,3566.1,4826.1,7,6,0,9,1114.9
1,half_of_maximum,2021-06-01T01:00:00+03:00,3601.1,4826.1,7,6,0,9,903.05
1,half_of_maximum,2021-07-01T01:00:00+03:00,4136.1,5326.1,7,6,0,10,1249.1
1,half_of_maximum,2021-08-02T01:00:00+03:00,-195.0,0.0,1,1,0,0,0.0
1,half_of_maximum,2021-09-01T01:00:00+03:00,-160.0,0.0,1,1,0,0,0.0
1,half_of_maximum,2021-10-01T01:00:00+03:00,5636.1,6826.1,7,6,0,12,625.1
1,half_of_maximum,2021-11-01T01:00:00+02:00,-160.0,0.0,1,1,0,0,0.0
1,half_of_maximum,2021-12-01T01:00:00+02:00,-190.0,500.0,3,3,0,1,0.0
1,half_of_maximum,2022-01-03T01:00:00+02:00,-120.0,500.0,3,3,0,1,0.0
1,half_of_maximum,2022-02-01T01:00:00+02:00,-85.0,500.0,3,3,0,1,0.0
1,half_of_maximum,2022-03-01T01:00:00+02:00,-195.0,0.0,1,1,0,0,0.0
1,half_of_maximum,2022-04-01T01:00:00+03:00,-160.0,0.0,1,1,0,0,0.0
1,half_of_maximum,2022-05-02T01:00:00+03:00,4469.5,5264.5,3,3,0,9,0.0
1,half_of_maximum,2022-06-01T01:00:00+03:00,4469.5,5264.5,3,3,0,9,0.0
1,half_of_maximum,2022-07-01T01:00:00+03:00,4379.5,5264.5,4,3,0,9,807.2
